Index,Beer
1956-01-01,284.4
1956-04-01,212.8
1956-07-01,226.9
1956-10-01,308.4
1957-01-01,262.0
1957-04-01,227.9
1957-07-01,236.1
1957-10-01,320.4
1958-01-01,271.9
1958-04-01,232.8
1958-07-01,237.0
1958-10-01,313.4
1959-01-01,261.4
1959-04-01,226.8
1959-07-01,249.9
1959-10-01,314.3
1960-01-01,286.1
1960-04-01,226.5
1960-07-01,260.4
1960-10-01,311.4
1961-01-01,294.7
1961-04-01,232.6
1961-07-01,257.2
1961-10-01,339.2
1962-01-01,279.1
1962-04-01,249.8
1962-07-01,269.8
1962-10-01,345.7
1963-01-01,293.8
1963-04-01,254.7
1963-07-01,277.5
1963-10-01,363.4
1964-01-01,313.4
1964-04-01,272.8
1964-07-01,300.1
1964-10-01,369.5
1965-01-01,330.8
1965-04-01,287.8
1965-07-01,305.9
1965-10-01,386.1
1966-01-01,335.2
1966-04-01,288.0
1966-07-01,308.3
1966-10-01,402.3
1967-01-01,352.8
1967-04-01,316.1
1967-07-01,324.9
1967-10-01,404.8
1968-01-01,393.0
1968-04-01,318.9
1968-07-01,327.0
1968-10-01,442.3
1969-01-01,383.1
1969-04-01,331.6
1969-07-01,361.4
1969-10-01,445.9
1970-01-01,386.6
1970-04-01,357.2
1970-07-01,373.6
1970-10-01,466.2
1971-01-01,409.6
1971-04-01,369.8
1971-07-01,378.6
1971-10-01,487.0
1972-01-01,419.2
1972-04-01,376.7
1972-07-01,392.8
1972-10-01,506.1
1973-01-01,458.4
1973-04-01,387.4
1973-07-01,426.9
1973-10-01,525.0
